2024-10-12 11:26:40,801 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:26:40,900 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:27:12,566 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:27:12,665 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:27:37,041 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:37,639 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:38,759 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:39,229 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:39,726 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:39,985 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:40,158 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:40,522 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:41,121 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:41,811 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:42,351 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:42,771 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:42,999 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:43,547 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:43,892 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:44,401 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:44,785 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:45,031 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:45,346 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:45,485 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:45,638 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:46,269 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:46,382 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:46,600 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:46,954 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:47,073 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:47,643 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:47,785 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:47,938 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:48,402 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:48,624 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:48,738 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:49,225 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:49,520 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:49,642 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
